author,description,experiment_id,id,inserted_at,updated_at,RT,condition,correctness,f,j,keyPressed,size,trial,trial_number,trial_type,comments,dominantHand,education,endTime,f,j,languages,startDate,startTime,timeSpent
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,5417,conjunction,correct,absent,present,f,15,negative,1,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1125,feature,correct,absent,present,f,1,negative,2,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,653,conjunction,correct,absent,present,j,1,positive,3,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,730,feature,incorrect,absent,present,f,1,positive,4,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,814,feature,correct,absent,present,f,15,negative,5,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,806,conjunction,correct,absent,present,f,5,negative,6,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,707,conjunction,correct,absent,present,j,5,positive,7,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,636,feature,incorrect,absent,present,f,30,positive,8,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1242,conjunction,correct,absent,present,f,30,negative,9,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,681,conjunction,correct,absent,present,j,15,positive,10,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1029,feature,correct,absent,present,j,5,positive,11,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1184,feature,correct,absent,present,f,5,negative,12,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1378,conjunction,correct,absent,present,j,30,positive,13,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,948,feature,correct,absent,present,f,30,negative,14,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,714,conjunction,correct,absent,present,f,1,negative,15,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,636,feature,correct,absent,present,j,15,positive,16,practice,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,804,feature,correct,absent,present,f,1,negative,1,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1558,conjunction,incorrect,absent,present,f,15,positive,2,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1012,feature,correct,absent,present,f,5,negative,3,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,759,conjunction,correct,absent,present,j,5,positive,4,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,2108,conjunction,correct,absent,present,f,30,negative,5,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1752,conjunction,incorrect,absent,present,f,30,positive,6,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,2004,conjunction,correct,absent,present,f,15,negative,7,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1409,feature,correct,absent,present,f,30,negative,8,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1031,feature,correct,absent,present,j,15,positive,9,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
